,Price,Square Meters,Address,Bedrooms,Bathrooms,Listing Type
1157,1 390 000 €,302,"Sintra, Rio de Mouro",5,4,Moradia
1158,220 000 €,156,"Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias",3,2,Moradia
1159,310 000 €,103,"Sintra, Queluz e Belas",2,1,Moradia
1160,260 000 €,80,"Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",2,1,Apartamento
1161,219 500 €,78,"Sintra, Rio de Mouro",2,0,Apartamento
1162,800 000 €,150,"Lisboa, Parque das Nações",--,0,Trespasse
1163,376 000 €,115,"Cascais, Cascais e Estoril",2,3,Apartamento
1164,158 000 €,85,"Azambuja, Azambuja",2,1,Moradia
1165,1 390 000 €,287,"Lisboa, Belém",4,8,Apartamento
1166,402 500 €,100,"Lisboa, Lumiar",3,2,Apartamento
1167,155 000 €,85,"Sintra, Almargem do Bispo, Pêro Pinheiro e Montelavar",2,1,Moradia
1168,130 000 €,62,"Azambuja, Azambuja",2,0,Apartamento
1169,250 000 €,73,"Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",2,1,Apartamento
1170,230 000 €,67,"Cascais, Cascais e Estoril",3,1,Apartamento
1171,380 000 €,23800,"Sintra, São João das Lampas e Terrugem",--,0,Terreno
1172,149 750 €,79,"Alenquer, Alenquer (Santo Estêvão e Triana)",2,1,Apartamento
1173,1 699 000 €,168,"Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias",4,3,Moradia
1174,3 300 000 €,810,"Lisboa, Estrela",--,--,Prédio
1175,750 000 €,550,"Lisboa, Ajuda",--,2,Loja
1176,215 000 €,224,"Odivelas, Pontinha e Famões",--,1,Armazém
1177,1 400 000 €,182,"Lisboa, Arroios",8,6,Prédio
1178,1 490 000 €,915,"Vila Franca de Xira, Alverca do Ribatejo e Sobralinho",--,0,Armazém
1179,350 000 €,113,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",3,0,Apartamento
1180,350 000 €,62,"Lisboa, Lumiar",0,1,Apartamento
1181,145 000 €,94,"Torres Vedras, Ventosa",2,1,Moradia
1182,288 000 €,41,"Cascais, Cascais e Estoril",1,1,Apartamento
1183,250 000 €,79,"Loures, Santo António dos Cavaleiros e Frielas",2,1,Apartamento
1184,176 000 €,97,"Sintra, Algueirão-Mem Martins",3,2,Apartamento
1185,2 190 000 €,181,"Cascais, Cascais e Estoril",4,0,Apartamento
1186,329 990 €,100,"Lisboa, Benfica",3,4,Apartamento
1187,1 300 000 €,166,"Cascais, Cascais e Estoril",3,3,Apartamento
