,Price,Square Meters,Address,Bedrooms,Bathrooms
1023,147 500 €,187,"Lisboa, São Domingos de Benfica",--,3
1024,1 299 000 €,146,"Lisboa, Areeiro",3,3
1025,195 000 €,78,"Odivelas, Odivelas",2,1
1026,499 525 €,95,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",2,2
1027,205 000 €,115,"Alenquer, Alenquer (Santo Estêvão e Triana)",4,2
1028,255 000 €,91,"Torres Vedras, Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães",2,1
1029,1 700 000 €,267,"Lisboa, Santo António",9,3
1030,990 000 €,185,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",4,3
1031,289 000 €,89,"Amadora, Encosta do Sol",3,2
1032,92 500 €,621,"Sintra, Queluz e Belas",--,0
1033,55 000 €,--,"Alenquer, Ventosa",--,--
1034,255 000 €,114,"Sintra, Massamá e Monte Abraão",3,2
1035,355 000 €,86,"Odivelas, Odivelas",2,1
1036,199 900 €,40,"Loures, Sacavém e Prior Velho",1,--
1037,270 000 €,150,"Mafra, Malveira e São Miguel de Alcainça",3,3
1038,290 000 €,82,"Loures, Moscavide e Portela",4,2
1039,795 000 €,153,"Lisboa, Arroios",4,2
1040,84 900 €,566,"Alenquer, Aldeia Galega da Merceana e Aldeia Gavinha",--,0
1041,950 000 €,112,"Mafra, Santo Isidoro",3,0
1042,820 000 €,112,"Mafra, Santo Isidoro",3,0
1043,109 900 €,--,"Amadora, Mina de Água",--,0
1044,950 000 €,227,"Lisboa, São Domingos de Benfica",4,3
1045,269 000 €,64,"Lisboa, Misericórdia",1,1
1046,169 000 €,77,"Sintra, Cacém e São Marcos",2,1
1047,590 000 €,122,"Sintra, Queluz e Belas",5,3
1048,106 000 €,190,"Odivelas, Pontinha e Famões",--,0
1049,340 000 €,107,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",3,2
1050,435 000 €,137,"Loures, Loures",3,2
1051,175 000 €,77,"Amadora, Mina de Água",2,1
1052,245 000 €,101,"Sintra, Queluz e Belas",2,2
1053,485 000 €,130,"Cascais, Alcabideche",3,4
1054,450 000 €,--,"Torres Vedras, Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães",--,0
1055,999 000 €,381,"Cascais, São Domingos de Rana",5,3
1056,260 000 €,90,"Cascais, Cascais e Estoril",2,1
1057,150 000 €,58,"Vila Franca de Xira, Póvoa de Santa Iria e Forte da Casa",2,1
1058,299 970 €,61,"Sintra, Queluz e Belas",6,3
1059,220 000 €,70,"Lisboa, Marvila",2,1
1060,800 000 €,300,"Mafra, Mafra",4,4
1061,470 000 €,245,"Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",3,0
1062,324 000 €,129,"Sintra, Queluz e Belas",2,1
1063,99 000 €,400,"Odivelas, Ramada e Caneças",4,0
1064,1 150 000 €,200,"Cascais, Cascais e Estoril",5,4
1065,375 000 €,--,"Torres Vedras, Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães",--,--
1066,450 000 €,--,"Torres Vedras, Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães",--,--
1067,79 000 €,--,"Torres Vedras, Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães",--,0
1068,375 000 €,47,"Lisboa, Santo António",1,1
1069,375 000 €,--,"Torres Vedras, Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães",--,--
1070,249 900 €,83,"Alenquer, Alenquer (Santo Estêvão e Triana)",2,2
1071,136 000 €,60,"Vila Franca de Xira, Póvoa de Santa Iria e Forte da Casa",1,1
1072,340 000 €,150,"Torres Vedras, Silveira",4,2
1073,640 000 €,209,"Oeiras, Barcarena",3,3
1074,202 000 €,99,"Cadaval, Lamas e Cercal",3,1
1075,70 000 €,41,"Sintra, Massamá e Monte Abraão",--,2
1076,640 000 €,209,"Oeiras, Barcarena",3,3
1077,94 000 €,56,"Alenquer, Aldeia Galega da Merceana e Aldeia Gavinha",2,1
1078,195 000 €,55,"Amadora, Águas Livres",2,1
1079,323 800 €,120,"Odivelas, Odivelas",4,--
1080,559 000 €,130,"Lisboa, Areeiro",3,2
1081,750 000 €,1143,"Oeiras, Barcarena",--,0
1082,105 000 €,--,"Torres Vedras, A dos Cunhados e Maceira",--,0
1083,105 000 €,--,"Torres Vedras, A dos Cunhados e Maceira",--,0
1084,188 000 €,60,"Sintra, Algueirão-Mem Martins",2,1
1085,640 000 €,209,"Oeiras, Barcarena",3,3
1086,665 000 €,183,"Oeiras, Porto Salvo",5,4
1087,260 000 €,70,"Lisboa, Penha de França",2,1
1088,183 000 €,68,"Vila Franca de Xira, Póvoa de Santa Iria e Forte da Casa",2,1
1089,198 000 €,178,"Vila Franca de Xira, Vila Franca de Xira",4,4
1090,260 000 €,95,"Lisboa, Carnide",0,1
1091,153 000 €,75,"Vila Franca de Xira, Alverca do Ribatejo e Sobralinho",2,1
1092,125 000 €,37,"Sintra, Queluz e Belas",1,1
1093,294 000 €,76,"Lisboa, Olivais",3,1
1094,180 000 €,74,"Loures, Sacavém e Prior Velho",2,1
1095,760 000 €,177,"Cascais, São Domingos de Rana",5,4
1096,142 500 €,99,"Alenquer, Carregado e Cadafais",2,1
1097,290 000 €,114,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",2,1
1098,218 000 €,79,"Sintra, Algueirão-Mem Martins",2,1
1099,530 000 €,178,"Vila Franca de Xira, Alverca do Ribatejo e Sobralinho",3,3
1100,1 175 000 €,162,"Cascais, Cascais e Estoril",4,3
1101,69 000 €,40,"Sintra, Massamá e Monte Abraão",--,0
1102,650 000 €,116,"Cascais, Alcabideche",3,3
1103,175 000 €,105,"Vila Franca de Xira, Póvoa de Santa Iria e Forte da Casa",3,2
1104,775 000 €,149,"Lisboa, Olivais",6,4
1105,237 700 €,65,"Loures, Moscavide e Portela",1,1
1106,225 000 €,84,"Azambuja, Alcoentre",3,2
1107,86 000 €,118,"Sintra, Agualva e Mira-Sintra",--,0
1108,218 000 €,37,"Lisboa, Penha de França",1,1
1109,200 000 €,81,"Loures, Santa Iria de Azoia, São João da Talha e Bobadela",3,2
1110,750 000 €,90,"Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias",2,1
1111,420 000 €,165,"Cascais, São Domingos de Rana",3,2
1112,130 000 €,110,"Lisboa, Alvalade",0,0
1113,255 000 €,106,"Sintra, Queluz e Belas",2,2
1114,490 000 €,260,"Torres Vedras, Ponte do Rol",4,4
1115,300 000 €,71,"Lisboa, São Domingos de Benfica",3,1
1116,115 000 €,--,"Sintra, Rio de Mouro",--,0
1117,160 000 €,95,"Loures, Loures",--,2
1118,375 000 €,61,"Lisboa, São Domingos de Benfica",2,1
1119,120 000 €,--,"Sintra, Casal de Cambra",--,0
1120,195 000 €,66,"Lisboa, Santa Maria Maior",--,1
1121,98 000 €,330,"Odivelas, Póvoa de Santo Adrião e Olival Basto",--,1
1122,110 000 €,67,"Vila Franca de Xira, Vila Franca de Xira",2,--
1123,preço sob consulta,883,"Lisboa, Belém",5,4
1124,190 000 €,89,"Sintra, Agualva e Mira-Sintra",3,2
1125,1 155 000 €,--,"Cascais, São Domingos de Rana",--,0
1126,265 000 €,79,"Cascais, São Domingos de Rana",2,1
1127,279 000 €,55,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",2,1
1128,345 000 €,118,"Cascais, São Domingos de Rana",3,2
1129,319 000 €,60,"Cascais, Cascais e Estoril",3,1
1130,51 200 €,68,"Azambuja, Aveiras de Cima",1,1
1131,1 075 000 €,140,"Lisboa, Estrela",3,3
1132,485 000 €,160,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",4,3
1133,378 000 €,64,"Lisboa, Lumiar",1,1
1134,199 000 €,85,"Sintra, Cacém e São Marcos",3,2
1135,1 190 000 €,540,"Odivelas, Pontinha e Famões",3,5
1136,400 000 €,55,"Lisboa, Belém",2,1
1137,315 000 €,100,"Sintra, Massamá e Monte Abraão",2,2
1138,60 000 €,94,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",0,1
1139,160 000 €,--,"Lourinhã, Santa Bárbara",--,0
1140,98 000 €,139,"Vila Franca de Xira, Vila Franca de Xira",0,1
1141,415 000 €,65,"Lisboa, Avenidas Novas",1,1
1142,99 000 €,60,"Mafra, Encarnação",2,0
1143,140 000 €,--,"Vila Franca de Xira, Vialonga",--,--
1144,1 390 000 €,302,"Sintra, Rio de Mouro",5,4
1145,220 000 €,156,"Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias",3,2
1146,310 000 €,103,"Sintra, Queluz e Belas",2,1
