Address,Price,Property Type,Rooms,Bathrooms,Square Meters
"Monte Estoril, Cascais",1.070.000 €,Apartamento,2,2,120
"Ramada e Caneças, Lisboa",279.000 €,Apartamento,3,2,95
"Leião, Oeiras",1.295.000 €,Moradia,5,3,216
"Ajuda, Lisboa",595.000 €,Apartamento,3,3,112
"Grão Vasco, Lisboa",Sob Consulta,Apartamento,2,2,67
"Marvila, Lisboa",243.000 €,Apartamento,3,2,90
"Centro de Carnaxide, Oeiras",350.000 €,Apartamento,3,2,89
"Alameda Conde Oeiras / Nova Oeiras, Oeiras",1.550.000 €,Moradia Isolada,4,2,160
"Areeiro, Lisboa",420.000 €,Apartamento,3,2,84
"Carnaxide e Queijas, Lisboa",1.399.000 €,Moradia Isolada,5,5,258
"Monte Abraão, Sintra",295.000 €,Apartamento,4,2,92
"Forte da Casa, Vila Franca de Xira",149.500 €,Apartamento,1,1,72
"Massamá e Monte Abraão, Lisboa",Sob Consulta,Apartamento,1,1,48
"Benfica, Lisboa",360.000 €,Apartamento,3,2,91
"Póvoa de Santa Iria e Forte da Casa, Lisboa",Sob Consulta,Moradia,4,4,204
"Campolide, Lisboa",249.000 €,Apartamento,1,1,44
"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa",298.000 €,Apartamento,2,1,76
"Santo António, Lisboa",365.000 €,Apartamento,0,1,40
"Lapa, Lisboa, Lisboa",450.000 €,Apartamento,4,2,110
"Varge Mondar, Sintra",Sob Consulta,Apartamento,2,1,78
"Águas Livres, Lisboa",227.900 €,Apartamento,3,2,72
"Parque das Nações - Expo Sul, Lisboa",Sob Consulta,Apartamento,2,2,125
"Marvila, Lisboa",270.000 €,Apartamento,2,1,68
"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa",387.000 €,Duplex,2,2,83
"Falagueira, Amadora",180.000 €,Apartamento,2,1,75
"Laranjeiras Metro, Lisboa",625.000 €,Apartamento,3,2,140
"Fonte Nova, Lisboa",215.000 €,Apartamento,1,1,27
"Estefânia, Lisboa",660.000 €,Duplex,3,1,95
"Estefânia, Lisboa",472.500 €,Apartamento,2,1,65
"Estefânia, Lisboa",510.500 €,Apartamento,2,1,70
"Arroios, Lisboa",Desde399.500 €,Apartamentos,0-2,1,65-70
"Estefânia, Lisboa",395.000 €,Apartamento,0,1,66
"Almargem do Bispo, Pêro Pinheiro e Montelavar, Lisboa",350.000 €,Moradia,4,3,248
"Monte Abraão, Sintra",229.500 €,Apartamento,2,1,64
"Loures, Loures",190.000 €,Apartamento,2,1,84
"Carcavelos, Cascais",420.000 €,Apartamento,2,2,78
"Mina de Água, Lisboa",100.000 €,Apartamento,2,1,86
"Olivais Sul, Lisboa",245.000 €,Apartamento,3,72,3
"Mina de Água, Lisboa",75.500 €,Apartamento,1,1,44
"Penha de França, Lisboa",330.000 €,Apartamento,2,1,72
"Shopping Massamá, Sintra",Sob Consulta,Apartamento,2,1,87
"Monte Abraão, Sintra",265.000 €,Apartamento,2,1,91
"São Marcos, Sintra",184.000 €,Apartamento,1,1,65
"Venteira, Lisboa",190.000 €,Apartamento,2,1,65
"Agualva - Cacém, Sintra",149.900 €,Apartamento,1,1,60
"Damaia, Amadora",160.000 €,Apartamento,2,1,61
"São Domingos de Benfica, Lisboa",350.000 €,Apartamento,3,2,100
"Alta de Lisboa, Lisboa",420.000 €,Apartamento,1,1,1
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",319.900 €,Apartamento,2,2,95
"Póvoa de Santa Iria e Forte da Casa, Lisboa",318.000 €,Apartamento,3,2,125
"Misericórdia, Lisboa",450.000 €,Apartamento,4,2,102
"Bairro Augusto de Castro, Oeiras",215.000 €,Apartamento,0,1,38
"Quinta do Jacinto, Lisboa",200.000 €,Apartamento,2,1,45
"À Av. Uruguai, Lisboa",Sob Consulta,Apartamento,2,1,75
"Penha de França, Lisboa",179.000 €,Apartamento,2,1,0
"Loures, Lisboa",240.000 €,Apartamento,2,1,70
"Encosta do Sol, Lisboa",300.000 €,Apartamento,3,2,79
"Cabo de Vialonga, Vila Franca de Xira",295.000 €,Apartamento,3,2,97
"Cascais e Estoril, Lisboa",199.000 €,Apartamento,1,1,70
"Odivelas, Odivelas",245.000 €,Apartamento,2,1,60
"Serra das Minas, Sintra",Sob Consulta,Apartamento,2,1,73
"Estoril, Cascais",2.800.000 €,Moradia,6,5,290
"Marvila, Lisboa",220.000 €,Apartamento,2,1,72
"Bairro de Santa Cruz, Lisboa",390.000 €,Apartamento,2,1,100
"Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa",199.000 €,Apartamento,3,1,88
"Telheiras, Lisboa",595.000 €,Apartamento,3,2,90
"Alcabideche, Lisboa",295.000 €,Apartamento,2,1,63
"Arroios, Lisboa",645.000 €,Apartamento,5,2,106
"Infantado, Loures",355.000 €,Apartamento,2,2,126
"Alvalade, Lisboa",760.000 €,Moradia em Banda,4,2,203
"Colinas do Cruzeiro, Odivelas",390.000 €,Apartamento,2,2,109
"Carnaxide e Queijas, Lisboa",575.000 €,Moradia Geminada,4,3,191
"Pontinha e Famões, Lisboa",750.000 €,Moradia Geminada,5,5,190
"Costa da Caparica, Setúbal",235.000 €,Apartamento,1,1,62
"À Av. Gomes Pereira, Lisboa",250.000 €,Apartamento,1,1,38
"Queluz e Belas, Lisboa",154.000 €,Apartamento,1,1,50
"Centro de Carnaxide, Oeiras",300.000 €,Apartamento,3,2,86
"Casal Gouveia, Sintra",Sob Consulta,Apartamento,2,1,64
"Queluz e Belas, Lisboa",197.500 €,Apartamento,2,1,71
"Alcabideche, Lisboa",269.000 €,Apartamento,2,1,85
